userId,movieId
1.0,1
5.0,1
7.0,1
15.0,1
17.0,1
18.0,1
19.0,1
21.0,1
27.0,1
31.0,1
32.0,1
33.0,1
40.0,1
43.0,1
44.0,1
45.0,1
46.0,1
50.0,1
54.0,1
57.0,1
63.0,1
64.0,1
66.0,1
68.0,1
71.0,1
73.0,1
76.0,1
78.0,1
82.0,1
86.0,1
89.0,1
90.0,1
91.0,1
93.0,1
96.0,1
98.0,1
103.0,1
107.0,1
112.0,1
119.0,1
121.0,1
124.0,1
130.0,1
132.0,1
134.0,1
135.0,1
137.0,1
140.0,1
141.0,1
144.0,1
145.0,1
151.0,1
153.0,1
155.0,1
156.0,1
159.0,1
160.0,1
161.0,1
166.0,1
167.0,1
169.0,1
171.0,1
177.0,1
178.0,1
179.0,1
182.0,1
185.0,1
186.0,1
191.0,1
193.0,1
200.0,1
201.0,1
202.0,1
206.0,1
213.0,1
214.0,1
216.0,1
217.0,1
219.0,1
220.0,1
223.0,1
226.0,1
229.0,1
232.0,1
233.0,1
234.0,1
239.0,1
240.0,1
247.0,1
249.0,1
252.0,1
254.0,1
263.0,1
264.0,1
266.0,1
269.0,1
270.0,1
273.0,1
274.0,1
275.0,1
276.0,1
277.0,1
279.0,1
280.0,1
282.0,1
283.0,1
288.0,1
290.0,1
291.0,1
292.0,1
293.0,1
298.0,1
304.0,1
307.0,1
314.0,1
322.0,1
323.0,1
328.0,1
330.0,1
332.0,1
334.0,1
336.0,1
337.0,1
339.0,1
341.0,1
347.0,1
350.0,1
353.0,1
357.0,1
359.0,1
364.0,1
367.0,1
372.0,1
373.0,1
378.0,1
380.0,1
381.0,1
382.0,1
385.0,1
389.0,1
391.0,1
396.0,1
399.0,1
401.0,1
411.0,1
412.0,1
414.0,1
420.0,1
422.0,1
432.0,1
434.0,1
436.0,1
438.0,1
443.0,1
448.0,1
451.0,1
453.0,1
456.0,1
460.0,1
462.0,1
468.0,1
469.0,1
470.0,1
471.0,1
474.0,1
476.0,1
477.0,1
480.0,1
483.0,1
484.0,1
488.0,1
490.0,1
492.0,1
500.0,1
504.0,1
509.0,1
514.0,1
517.0,1
522.0,1
524.0,1
525.0,1
528.0,1
529.0,1
533.0,1
534.0,1
541.0,1
544.0,1
550.0,1
555.0,1
559.0,1
560.0,1
561.0,1
562.0,1
567.0,1
570.0,1
572.0,1
573.0,1
579.0,1
580.0,1
584.0,1
587.0,1
590.0,1
596.0,1
597.0,1
599.0,1
600.0,1
601.0,1
603.0,1
604.0,1
605.0,1
606.0,1
607.0,1
608.0,1
609.0,1
610.0,1
6.0,2
8.0,2
18.0,2
19.0,2
20.0,2
21.0,2
27.0,2
51.0,2
62.0,2
68.0,2
82.0,2
91.0,2
93.0,2
94.0,2
103.0,2
104.0,2
107.0,2
112.0,2
117.0,2
122.0,2
125.0,2
135.0,2
140.0,2
144.0,2
149.0,2
153.0,2
160.0,2
169.0,2
177.0,2
186.0,2
202.0,2
217.0,2
219.0,2
221.0,2
222.0,2
226.0,2
230.0,2
232.0,2
240.0,2
249.0,2
259.0,2
274.0,2
276.0,2
284.0,2
288.0,2
294.0,2
298.0,2
299.0,2
304.0,2
305.0,2
307.0,2
308.0,2
318.0,2
321.0,2
322.0,2
323.0,2
330.0,2
347.0,2
353.0,2
357.0,2
359.0,2
373.0,2
380.0,2
381.0,2
395.0,2
411.0,2
414.0,2
425.0,2
426.0,2
432.0,2
434.0,2
436.0,2
446.0,2
447.0,2
448.0,2
458.0,2
470.0,2
474.0,2
475.0,2
476.0,2
477.0,2
480.0,2
482.0,2
483.0,2
484.0,2
489.0,2
497.0,2
501.0,2
512.0,2
517.0,2
523.0,2
525.0,2
527.0,2
534.0,2
559.0,2
561.0,2
563.0,2
566.0,2
570.0,2
573.0,2
586.0,2
590.0,2
592.0,2
594.0,2
599.0,2
600.0,2
602.0,2
604.0,2
605.0,2
608.0,2
1.0,3
6.0,3
19.0,3
32.0,3
42.0,3
43.0,3
44.0,3
51.0,3
58.0,3
64.0,3
68.0,3
91.0,3
100.0,3
102.0,3
116.0,3
117.0,3
150.0,3
151.0,3
169.0,3
179.0,3
217.0,3
226.0,3
240.0,3
269.0,3
270.0,3
288.0,3
289.0,3
294.0,3
302.0,3
307.0,3
308.0,3
321.0,3
330.0,3
337.0,3
368.0,3
410.0,3
414.0,3
448.0,3
456.0,3
470.0,3
477.0,3
480.0,3
